county,auction_source,item_id,parcel_id,property_type,address,city,zip,opening_bid,assessed_value,assessed_estimated,default_date,has_situs_address,source_status,opening_bin,historical_sold_rate,historical_bin_samples,competition_multiplier,market_factor,estimated_market_value,estimated_winning_bid,buyer_premium,estimated_transfer_tax,estimated_recording_fee,estimated_total_cost,gross_upside,estimated_roi_pct,default_age_years,risk_penalty,confidence_score,liquidity_factor,hidden_gem_score,recommended_max_bid,risk_flags,recommended_property,rank
San Diego,San Diego 2026,0459,6661300600,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,145000.0,910261.0,False,,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,910261.0,300216.6216216216,7760.83108108108,330.2382837837838,12.0,308319.69098648644,601941.3090135136,195.2328464937053,0.0,0.0,100.0,0.9,81.00369407501192,699692.51,,True,15
San Diego,San Diego 2026,0457,6661300400,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,218600.0,1365393.0,False,,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,1365393.0,452602.43783783785,11700.121891891893,497.8626816216217,12.0,464812.42241135135,900580.5775886487,193.75140038569143,0.0,0.0,100.0,0.9,80.83034236343877,1049597.95,,True,16
San Diego,San Diego 2026,0124,2176500400,Improved Property,695 CASITA LN SAN MARCOS CA 92069-8319,San Marcos,92069,168000.0,710271.0,False,,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.03,731579.13,347837.1891891892,8991.85945945946,382.6209081081081,12.0,357223.66955675674,374355.46044324327,104.79581627604455,0.0,0.0,100.0,1.0,78.24576328944323,564790.51,,True,17
San Diego,San Diego 2026,0458,6661300500,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,28100.0,170671.0,False,,True,ACTIVE,20k-100k,0.9285714285714286,13,2.204889975550122,1.0,170671.0,61957.40831295843,1692.8704156479216,68.15314914425429,12.0,63730.431877750605,106940.56812224939,167.80141758239705,0.0,0.0,100.0,0.9,77.79379995402509,131224.24,,True,18
San Diego,San Diego 2026,0429,6091724800,Unimproved property,TIERRA HEIGHTS RD BOULEVARD CA 91905,Boulevard,91905,9500.0,73651.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,73651.0,27468.219339622643,898.4109669811322,30.21504127358491,12.0,28408.845347877363,45242.15465212264,159.25376092591887,0.0,0.0,100.0,0.9,76.79359420686723,56496.81,,True,19
San Diego,San Diego 2026,0245,3210805100,Unimproved property,VALI HAI RD POWAY CA 92064,Poway,92064,55800.0,322753.0,False,,True,ACTIVE,20k-100k,0.9285714285714286,13,2.204889975550122,1.0,322753.0,123032.86063569681,3361.643031784841,135.3361466992665,12.0,126541.83981418092,196211.16018581908,155.05635169675372,0.0,0.0,100.0,0.9,76.30243352939631,248292.65,,True,20
San Diego,San Diego 2026,0141,2381522600,Unimproved property,S ESCONDIDO BLVD,Escondido,92036,2600.0,12730.0,False,,True,ACTIVE,1k-5k,0.22517482517482518,161,1.6346153846153846,1.0,12730.0,4250.0,82.5,4.675000000000001,12.0,4349.175,8380.825,192.69919007627885,0.0,8.0,92.0,0.9,75.75176266901967,9801.16,low-historical-sellthrough-bin,False,21
San Diego,San Diego 2026,0345,5221604300,Unimproved property,FOREST PARK RD JAMUL CA 91935,Jamul,91935,7700.0,56889.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,56889.0,22263.714622641513,728.1857311320757,24.490086084905666,12.0,23028.390439858493,33860.60956014151,147.03854204909678,0.0,0.0,100.0,0.9,75.3642279355712,43653.51,,True,22
San Diego,San Diego 2026,0043,1262306900,Unimproved property,S MISSION RD,Bonsall,92003,11400.0,83661.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,83661.0,32961.863207547176,1078.0931603773588,36.258049528301896,12.0,34088.21441745284,49572.78558254716,145.4249993134471,0.0,0.0,100.0,0.9,75.17541891078912,64205.88,,True,23
San Diego,San Diego 2026,0091,1882232400,Unimproved property,MACTAN RD VALLEY CENTER CA 92082,Valley Center,92082,11400.0,83270.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,83270.0,32961.863207547176,1078.0931603773588,36.258049528301896,12.0,34088.21441745284,49181.78558254716,144.27797531503018,0.0,0.0,100.0,0.9,75.0411996690189,63908.29,,True,24
